1,0
2,0.004
3,0.003
4,0.006
5,0.009
6,0.006
7,0.018
8,0.015
9,0.014
10,0.021
11,0.024
12,0.035
13,0.038
14,0.045
15,0.053
16,0.051
17,0.067
18,0.073
19,0.067
20,0.088
21,0.091
22,0.108
23,0.116
24,0.115
25,0.127
26,0.153
27,0.146
28,0.187
29,0.167
30,0.197
31,0.225
32,0.208
33,0.247
34,0.264
35,0.247
36,0.292
37,0.251
38,0.293
39,0.309
40,0.33
41,0.348
42,0.339
43,0.348
44,0.417
45,0.366
46,0.407
47,0.421
48,0.412
49,0.467
50,0.477
51,0.478
52,0.493
53,0.459
54,0.544
55,0.497
56,0.545
57,0.608
58,0.567
59,0.587
60,0.634
61,0.576
62,0.687
63,0.703
64,0.623
65,0.66
66,0.666
67,0.668
68,0.723
69,0.677
70,0.802
71,0.708
72,0.779
73,0.754
74,0.792
75,0.774
76,0.827
77,0.769
78,0.884
79,0.76
80,0.892
81,0.833
82,0.855
83,0.854
84,0.895
85,0.841
86,0.935
87,0.825
88,0.957
89,0.854
90,0.914
91,0.9
92,0.924
93,0.875
94,0.972
95,0.857
96,0.996
97,0.857
98,0.963
99,0.903
100,0.918
