1,0
2,0.005
3,0.003
4,0.009
5,0.015
6,0.013
7,0.027
8,0.031
9,0.032
10,0.07
11,0.063
12,0.065
13,0.098
14,0.099
15,0.111
16,0.144
17,0.115
18,0.184
19,0.17
20,0.18
21,0.202
22,0.234
23,0.235
24,0.29
25,0.237
26,0.324
27,0.316
28,0.323
29,0.376
30,0.38
31,0.355
32,0.503
33,0.49
34,0.399
35,0.495
36,0.492
37,0.521
38,0.594
39,0.521
40,0.66
41,0.558
42,0.647
43,0.642
44,0.619
45,0.663
46,0.724
47,0.658
48,0.816
49,0.673
50,0.769
51,0.768
52,0.794
53,0.773
54,0.902
55,0.724
56,0.928
57,0.798
58,0.869
59,0.874
60,0.909
61,0.837
62,0.982
63,0.799
64,0.963
65,0.856
66,0.883
67,0.902
68,0.932
69,0.821
70,0.997
71,0.791
72,0.932
73,0.856
74,0.844
75,0.842
76,0.768
77,0.766
78,0.937
79,0.743
80,0.84
